"","Data Series","Time","Exports"
"494","Germany, Federal Republic Of (Thousand Dollars)","2021 Oct",915452
"495","Germany, Federal Republic Of (Thousand Dollars)","2021 Sep",800215
"496","Germany, Federal Republic Of (Thousand Dollars)","2021 Aug",798061
"497","Germany, Federal Republic Of (Thousand Dollars)","2021 Jul",754099
"498","Germany, Federal Republic Of (Thousand Dollars)","2021 Jun",916201
"499","Germany, Federal Republic Of (Thousand Dollars)","2021 May",709010
"500","Germany, Federal Republic Of (Thousand Dollars)","2021 Apr",771493
"501","Germany, Federal Republic Of (Thousand Dollars)","2021 Mar",874965
"502","Germany, Federal Republic Of (Thousand Dollars)","2021 Feb",651058
"503","Germany, Federal Republic Of (Thousand Dollars)","2021 Jan",652128
"504","Germany, Federal Republic Of (Thousand Dollars)","2020 Dec",674442
